[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1652344573.390000 5/12/2022, 5:36:13 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: PtFe_MH20211209.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1652357767.796,,4.800000e+004,1.000068e+001,4.859675e-001,2.791386e-004,3,9.919394e-001,5.743976e-002,,,,,,,,,,,,,,32,2,4.000000e+000,3.087997e-003,0.000000e+000,0,1,0,
1652357974.484,,5.000000e+004,1.000093e+001,5.032881e-001,1.748251e-004,3,9.920014e-001,3.473658e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.029968e-003,0.000000e+000,0,1,0,
1652368242.218,,0.000000e+000,1.999846e+001,-3.164643e-004,4.383485e-009,3,9.912454e-001,1.385144e-003,,,,,,,,,,,,,,32,2,4.000000e+000,7.360458e-003,0.000000e+000,0,0,0,
1652368377.046,,2.000000e+002,1.999876e+001,1.870558e-003,6.953407e-007,3,9.937475e-001,3.717289e-002,,,,,,,,,,,,,,32,2,4.000000e+000,3.688812e-003,0.000000e+000,0,0,0,
1652368492.578,,4.000000e+002,1.999800e+001,4.131207e-003,1.493250e-006,3,9.932294e-001,3.614560e-002,,,,,,,,,,,,,,32,2,4.000000e+000,3.068924e-003,0.000000e+000,0,1,0,
1652368643.062,,6.000000e+002,2.000199e+001,6.466588e-003,6.414223e-007,3,9.932773e-001,9.919023e-003,,,,,,,,,,,,,,32,2,4.000000e+000,5.531311e-003,0.000000e+000,0,1,0,
1652368760.593,,8.000000e+002,1.999953e+001,9.062626e-003,9.483041e-008,3,9.929409e-001,1.046390e-003,,,,,,,,,,,,,,32,2,4.000000e+000,3.068924e-003,0.000000e+000,0,1,0,
1652368881.578,,1.000000e+003,1.999876e+001,1.163660e-002,1.414554e-006,3,9.929835e-001,1.215608e-002,,,,,,,,,,,,,,32,2,4.000000e+000,3.068924e-003,0.000000e+000,0,1,0,
1652368998.140,,1.200000e+003,1.999861e+001,1.394535e-002,1.814290e-006,3,9.930246e-001,1.301000e-002,,,,,,,,,,,,,,32,2,4.000000e+000,7.369995e-003,0.000000e+000,0,0,0,
1652369120.593,,1.400000e+003,1.999846e+001,1.622906e-002,4.150148e-006,3,9.929999e-001,2.557232e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.449036e-003,0.000000e+000,0,0,0,
